,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,STUDY ACCESSION,parentterm,color
210,Other/Mixed,604.0,31217584.0,Wojcik GL,High density lipoprotein cholesterol levels,initial,2019-06-19,GCST008035,Lipid or lipoprotein measurement,#99d594
211,Hispanic/Latin American,17751.0,31217584.0,Wojcik GL,High density lipoprotein cholesterol levels,initial,2019-06-19,GCST008035,Lipid or lipoprotein measurement,#807dba
212,African Am./Caribbean,10085.0,31217584.0,Wojcik GL,High density lipoprotein cholesterol levels,initial,2019-06-19,GCST008035,Lipid or lipoprotein measurement,#fee08b
214,Other/Mixed,4.0,31217584.0,Wojcik GL,Hemoglobin A1c levels,initial,2019-06-19,GCST008034,Other measurement,#99d594
215,Asian,92.0,31217584.0,Wojcik GL,Hemoglobin A1c levels,initial,2019-06-19,GCST008034,Other measurement,#d53e4f
216,African Am./Caribbean,559.0,31217584.0,Wojcik GL,Hemoglobin A1c levels,initial,2019-06-19,GCST008034,Other measurement,#fee08b
217,Hispanic/Latin American,10408.0,31217584.0,Wojcik GL,Hemoglobin A1c levels,initial,2019-06-19,GCST008034,Other measurement,#807dba
218,Other/Mixed,395.0,31217584.0,Wojcik GL,Fasting blood insulin,initial,2019-06-19,GCST008033,Other measurement,#99d594
219,Other/Mixed,1397.0,31217584.0,Wojcik GL,Fasting blood insulin,initial,2019-06-19,GCST008033,Other measurement,#99d594
220,Asian,1547.0,31217584.0,Wojcik GL,Fasting blood insulin,initial,2019-06-19,GCST008033,Other measurement,#d53e4f
221,Hispanic/Latin American,12687.0,31217584.0,Wojcik GL,Fasting blood insulin,initial,2019-06-19,GCST008033,Other measurement,#807dba
222,African Am./Caribbean,5525.0,31217584.0,Wojcik GL,Fasting blood insulin,initial,2019-06-19,GCST008033,Other measurement,#fee08b
224,Other/Mixed,412.0,31217584.0,Wojcik GL,Fasting blood glucose,initial,2019-06-19,GCST008032,Other measurement,#99d594
225,Other/Mixed,1400.0,31217584.0,Wojcik GL,Fasting blood glucose,initial,2019-06-19,GCST008032,Other measurement,#99d594
226,Asian,1918.0,31217584.0,Wojcik GL,Fasting blood glucose,initial,2019-06-19,GCST008032,Other measurement,#d53e4f
227,African Am./Caribbean,6457.0,31217584.0,Wojcik GL,Fasting blood glucose,initial,2019-06-19,GCST008032,Other measurement,#fee08b
228,Hispanic/Latin American,13556.0,31217584.0,Wojcik GL,Fasting blood glucose,initial,2019-06-19,GCST008032,Other measurement,#807dba
230,Other/Mixed,53.0,31217584.0,Wojcik GL,End-stage renal disease,initial,2019-06-19,GCST008031,Other disease,#99d594
231,Other/Mixed,2946.0,31217584.0,Wojcik GL,End-stage renal disease,initial,2019-06-19,GCST008031,Other disease,#99d594
232,Asian,3600.0,31217584.0,Wojcik GL,End-stage renal disease,initial,2019-06-19,GCST008031,Other disease,#d53e4f
233,Hispanic/Latin American,16405.0,31217584.0,Wojcik GL,End-stage renal disease,initial,2019-06-19,GCST008031,Other disease,#807dba
234,African Am./Caribbean,9065.0,31217584.0,Wojcik GL,End-stage renal disease,initial,2019-06-19,GCST008031,Other disease,#fee08b
236,Other/Mixed,602.0,31217584.0,Wojcik GL,Estimated glomerular filtration rate,initial,2019-06-19,GCST008030,Other measurement,#99d594
237,Asian,150.0,31217584.0,Wojcik GL,Estimated glomerular filtration rate,initial,2019-06-19,GCST008030,Other measurement,#d53e4f
238,African Am./Caribbean,8261.0,31217584.0,Wojcik GL,Estimated glomerular filtration rate,initial,2019-06-19,GCST008030,Other measurement,#fee08b
239,Hispanic/Latin American,18548.0,31217584.0,Wojcik GL,Estimated glomerular filtration rate,initial,2019-06-19,GCST008030,Other measurement,#807dba
240,Hispanic/Latin American,21549.0,31217584.0,Wojcik GL,Diastolic blood pressure,initial,2019-06-19,GCST008029,Other measurement,#807dba
241,African Am./Caribbean,11380.0,31217584.0,Wojcik GL,Diastolic blood pressure,initial,2019-06-19,GCST008029,Other measurement,#fee08b
242,Other/Mixed,636.0,31217584.0,Wojcik GL,Diastolic blood pressure,initial,2019-06-19,GCST008029,Other measurement,#99d594
243,Asian,1086.0,31217584.0,Wojcik GL,Diastolic blood pressure,initial,2019-06-19,GCST008029,Other measurement,#d53e4f
245,Other/Mixed,582.0,31217584.0,Wojcik GL,Coffee consumption (cups per day),initial,2019-06-19,GCST008028,Other measurement,#99d594
246,Other/Mixed,3857.0,31217584.0,Wojcik GL,Coffee consumption (cups per day),initial,2019-06-19,GCST008028,Other measurement,#99d594
247,Asian,3764.0,31217584.0,Wojcik GL,Coffee consumption (cups per day),initial,2019-06-19,GCST008028,Other measurement,#d53e4f
248,Hispanic/Latin American,15837.0,31217584.0,Wojcik GL,Coffee consumption (cups per day),initial,2019-06-19,GCST008028,Other measurement,#807dba
249,African Am./Caribbean,11862.0,31217584.0,Wojcik GL,Coffee consumption (cups per day),initial,2019-06-19,GCST008028,Other measurement,#fee08b
251,Other/Mixed,288.0,31217584.0,Wojcik GL,Smoking behaviour (cigarettes smoked per day),initial,2019-06-19,GCST008027,Other measurement,#99d594
252,Other/Mixed,2176.0,31217584.0,Wojcik GL,Smoking behaviour (cigarettes smoked per day),initial,2019-06-19,GCST008027,Other measurement,#99d594
253,African Am./Caribbean,7171.0,31217584.0,Wojcik GL,Smoking behaviour (cigarettes smoked per day),initial,2019-06-19,GCST008027,Other measurement,#fee08b
254,Hispanic/Latin American,4198.0,31217584.0,Wojcik GL,Smoking behaviour (cigarettes smoked per day),initial,2019-06-19,GCST008027,Other measurement,#807dba
255,Asian,1918.0,31217584.0,Wojcik GL,Smoking behaviour (cigarettes smoked per day),initial,2019-06-19,GCST008027,Other measurement,#d53e4f
257,Other/Mixed,639.0,31217584.0,Wojcik GL,Chronic kidney disease,initial,2019-06-19,GCST008026,Other disease,#99d594
258,Other/Mixed,3500.0,31217584.0,Wojcik GL,Chronic kidney disease,initial,2019-06-19,GCST008026,Other disease,#99d594
259,Asian,4124.0,31217584.0,Wojcik GL,Chronic kidney disease,initial,2019-06-19,GCST008026,Other disease,#d53e4f
260,African Am./Caribbean,15522.0,31217584.0,Wojcik GL,Chronic kidney disease,initial,2019-06-19,GCST008026,Other disease,#fee08b
261,Hispanic/Latin American,20920.0,31217584.0,Wojcik GL,Chronic kidney disease,initial,2019-06-19,GCST008026,Other disease,#807dba
262,European,152.0,31209788.0,Li HQ,Cerebral microbleed progression,initial,2019-06-18,GCST008274,Other measurement,#3288bd
264,European,294.0,31163085.0,Sharapov SZ,N-glycan levels,replication,2019-06-15,GCST008108,Other measurement,#3288bd
265,Other/Mixed,327.0,31163085.0,Sharapov SZ,N-glycan levels,replication,2019-06-15,GCST008108,Other measurement,#99d594
267,European,666.0,31194736.0,Tiensuu H,Gestational age at birth (child effect),initial,2019-06-13,GCST008176,Other measurement,#3288bd
269,Other/Mixed,11.0,31194788.0,Read RW,Platelet count,initial,2019-06-13,GCST008168,Hematological measurement,#99d594
270,African Am./Caribbean,53.0,31194788.0,Read RW,Platelet count,initial,2019-06-13,GCST008168,Hematological measurement,#fee08b
271,Hispanic/Latin American,138.0,31194788.0,Read RW,Platelet count,initial,2019-06-13,GCST008168,Hematological measurement,#807dba
272,Asian,100.0,31194788.0,Read RW,Platelet count,initial,2019-06-13,GCST008168,Hematological measurement,#d53e4f
273,European,4175.0,31194788.0,Read RW,Platelet count,initial,2019-06-13,GCST008168,Hematological measurement,#3288bd
274,Other/Mixed,30.0,31194788.0,Read RW,Platelet count,initial,2019-06-13,GCST008168,Hematological measurement,#99d594
275,Asian,100.0,31194788.0,Read RW,Mean corpuscular volume,initial,2019-06-13,GCST008166,Hematological measurement,#d53e4f
276,African Am./Caribbean,53.0,31194788.0,Read RW,Mean corpuscular volume,initial,2019-06-13,GCST008166,Hematological measurement,#fee08b
277,European,4175.0,31194788.0,Read RW,Mean corpuscular volume,initial,2019-06-13,GCST008166,Hematological measurement,#3288bd
278,Other/Mixed,30.0,31194788.0,Read RW,Mean corpuscular volume,initial,2019-06-13,GCST008166,Hematological measurement,#99d594
279,Hispanic/Latin American,138.0,31194788.0,Read RW,Mean corpuscular volume,initial,2019-06-13,GCST008166,Hematological measurement,#807dba
281,Other/Mixed,11.0,31194788.0,Read RW,Mean corpuscular volume,initial,2019-06-13,GCST008166,Hematological measurement,#99d594
283,Other/Mixed,30.0,31194788.0,Read RW,Mean platelet volume,initial,2019-06-13,GCST008167,Hematological measurement,#99d594
284,Hispanic/Latin American,138.0,31194788.0,Read RW,Mean platelet volume,initial,2019-06-13,GCST008167,Hematological measurement,#807dba
285,Asian,100.0,31194788.0,Read RW,Mean platelet volume,initial,2019-06-13,GCST008167,Hematological measurement,#d53e4f
286,African Am./Caribbean,53.0,31194788.0,Read RW,Mean platelet volume,initial,2019-06-13,GCST008167,Hematological measurement,#fee08b
287,European,4175.0,31194788.0,Read RW,Mean platelet volume,initial,2019-06-13,GCST008167,Hematological measurement,#3288bd
288,Other/Mixed,11.0,31194788.0,Read RW,Mean platelet volume,initial,2019-06-13,GCST008167,Hematological measurement,#99d594
289,European,520.0,31194736.0,Tiensuu H,Spontaneous preterm birth without premature rupture of membranes,initial,2019-06-13,GCST008181,Other trait,#3288bd
290,European,552.0,31194736.0,Tiensuu H,Spontaneous preterm birth with premature rupture of membranes,initial,2019-06-13,GCST008180,Other disease,#3288bd
291,European,552.0,31194736.0,Tiensuu H,Spontaneous preterm birth with premature rupture of membranes,initial,2019-06-13,GCST008180,Other trait,#3288bd
292,European,494.0,31194736.0,Tiensuu H,Moderate-to-late spontaneous preterm birth,initial,2019-06-13,GCST008179,Other trait,#3288bd
293,European,591.0,31194736.0,Tiensuu H,Early spontaneous preterm birth,initial,2019-06-13,GCST008178,Other trait,#3288bd
294,European,666.0,31194736.0,Tiensuu H,Spontaneous preterm birth (preterm birth),initial,2019-06-13,GCST008177,Other trait,#3288bd
296,European,7611.0,31188284.0,Bae H,Age at menopause,initial,2019-06-10,GCST008149,Other measurement,#3288bd
297,Asian,2118.0,31170924.0,Kong S,Metabolic syndrome,replication,2019-06-06,GCST008140,Metabolic disorder,#d53e4f
298,Asian,1850.0,31170924.0,Kong S,Metabolic syndrome,initial,2019-06-06,GCST008140,Metabolic disorder,#d53e4f
299,Asian,2857.0,31170924.0,Kong S,Metabolic syndrome,initial,2019-06-06,GCST008146,Metabolic disorder,#d53e4f
300,Asian,5273.0,31170924.0,Kong S,Waist circumference,replication,2019-06-06,GCST008145,Body measurement,#d53e4f
301,Asian,4659.0,31170924.0,Kong S,Waist circumference,initial,2019-06-06,GCST008145,Body measurement,#d53e4f
302,Asian,5273.0,31170924.0,Kong S,Fasting plasma glucose,replication,2019-06-06,GCST008144,Other measurement,#d53e4f
303,Asian,4659.0,31170924.0,Kong S,Fasting plasma glucose,initial,2019-06-06,GCST008144,Other measurement,#d53e4f
304,Asian,4659.0,31170924.0,Kong S,Diastolic blood pressure,initial,2019-06-06,GCST008143,Other measurement,#d53e4f
305,Asian,5273.0,31170924.0,Kong S,Diastolic blood pressure,replication,2019-06-06,GCST008143,Other measurement,#d53e4f
306,Asian,5273.0,31170924.0,Kong S,Systolic blood pressure,replication,2019-06-06,GCST008142,Other measurement,#d53e4f
307,Asian,4659.0,31170924.0,Kong S,Systolic blood pressure,initial,2019-06-06,GCST008142,Other measurement,#d53e4f
308,Asian,5273.0,31170924.0,Kong S,HDL cholesterol,replication,2019-06-06,GCST008141,Lipid or lipoprotein measurement,#d53e4f
309,Asian,4659.0,31170924.0,Kong S,HDL cholesterol,initial,2019-06-06,GCST008141,Lipid or lipoprotein measurement,#d53e4f
310,Asian,4659.0,31170924.0,Kong S,Triglyceride levels,initial,2019-06-06,GCST008150,Lipid or lipoprotein measurement,#d53e4f
311,Asian,5273.0,31170924.0,Kong S,Triglyceride levels,replication,2019-06-06,GCST008150,Lipid or lipoprotein measurement,#d53e4f
312,European,10408.0,31164008.0,Mullins N,Suicide attempts in major depressive disorder,initial,2019-06-05,GCST008118,Neurological disorder,#3288bd
313,European,10408.0,31164008.0,Mullins N,Suicide attempts in major depressive disorder,initial,2019-06-05,GCST008118,Biological process,#3288bd
314,European,13393.0,31164008.0,Mullins N,Suicide attempts in bipolar disorder or schizophrenia,initial,2019-06-05,GCST008122,Neurological disorder,#3288bd
315,European,13393.0,31164008.0,Mullins N,Suicide attempts in bipolar disorder or schizophrenia,initial,2019-06-05,GCST008122,Neurological disorder,#3288bd
316,European,13393.0,31164008.0,Mullins N,Suicide attempts in bipolar disorder or schizophrenia,initial,2019-06-05,GCST008122,Biological process,#3288bd
317,European,19172.0,31164008.0,Mullins N,Suicide attempts in major depressive disorder or bipolar disorder,initial,2019-06-05,GCST008121,Neurological disorder,#3288bd
318,European,58853.0,31164008.0,Mullins N,Suicide attempts in major depressive disorder or bipolar disorder,replication,2019-06-05,GCST008121,Neurological disorder,#3288bd
319,European,19172.0,31164008.0,Mullins N,Suicide attempts in major depressive disorder or bipolar disorder,initial,2019-06-05,GCST008121,Neurological disorder,#3288bd
320,European,58853.0,31164008.0,Mullins N,Suicide attempts in major depressive disorder or bipolar disorder,replication,2019-06-05,GCST008121,Neurological disorder,#3288bd
321,European,19172.0,31164008.0,Mullins N,Suicide attempts in major depressive disorder or bipolar disorder,initial,2019-06-05,GCST008121,Biological process,#3288bd
322,European,58853.0,31164008.0,Mullins N,Suicide attempts in major depressive disorder or bipolar disorder,replication,2019-06-05,GCST008121,Biological process,#3288bd
323,European,4629.0,31164008.0,Mullins N,Suicide attempts in schizophrenia,initial,2019-06-05,GCST008120,Neurological disorder,#3288bd
324,European,4629.0,31164008.0,Mullins N,Suicide attempts in schizophrenia,initial,2019-06-05,GCST008120,Biological process,#3288bd
325,European,8764.0,31164008.0,Mullins N,Suicide attempts in bipolar disorder,initial,2019-06-05,GCST008119,Neurological disorder,#3288bd
326,European,8764.0,31164008.0,Mullins N,Suicide attempts in bipolar disorder,initial,2019-06-05,GCST008119,Biological process,#3288bd
327,European,23801.0,31164008.0,Mullins N,Suicide attempts in major depressive disorder or bipolar disorder or schizophrenia,initial,2019-06-05,GCST008123,Neurological disorder,#3288bd
328,European,23801.0,31164008.0,Mullins N,Suicide attempts in major depressive disorder or bipolar disorder or schizophrenia,initial,2019-06-05,GCST008123,Neurological disorder,#3288bd
329,European,23801.0,31164008.0,Mullins N,Suicide attempts in major depressive disorder or bipolar disorder or schizophrenia,initial,2019-06-05,GCST008123,Neurological disorder,#3288bd
330,European,23801.0,31164008.0,Mullins N,Suicide attempts in major depressive disorder or bipolar disorder or schizophrenia,initial,2019-06-05,GCST008123,Biological process,#3288bd
331,European,567460.0,31152163.0,Wuttke M,Estimated glomerular filtration rate,initial,2019-05-31,GCST008058,Other measurement,#3288bd
332,Asian,165726.0,31152163.0,Wuttke M,Estimated glomerular filtration rate,initial,2019-05-31,GCST008058,Other measurement,#d53e4f
333,African Am./Caribbean,13842.0,31152163.0,Wuttke M,Estimated glomerular filtration rate,initial,2019-05-31,GCST008058,Other measurement,#fee08b
334,Hispanic/Latin American,4961.0,31152163.0,Wuttke M,Estimated glomerular filtration rate,initial,2019-05-31,GCST008058,Other measurement,#807dba
335,European,216518.0,31152163.0,Wuttke M,Estimated glomerular filtration rate,replication,2019-05-31,GCST008058,Other measurement,#3288bd
336,African,64204.0,31152163.0,Wuttke M,Estimated glomerular filtration rate,replication,2019-05-31,GCST008058,Other measurement,#fc8d59
337,Asian,13359.0,31152163.0,Wuttke M,Estimated glomerular filtration rate,initial,2019-05-31,GCST008058,Other measurement,#d53e4f
338,African Am./Caribbean,13842.0,31152163.0,Wuttke M,Estimated glomerular filtration rate,initial,2019-05-31,GCST008066,Other measurement,#fee08b
339,European,625219.0,31152163.0,Wuttke M,Chronic kidney disease,initial,2019-05-31,GCST008065,Other disease,#3288bd
341,European,243029.0,31152163.0,Wuttke M,Blood urea nitrogen levels,initial,2019-05-31,GCST008063,Other measurement,#3288bd
343,Asian,13359.0,31152163.0,Wuttke M,Estimated glomerular filtration rate,initial,2019-05-31,GCST008061,Other measurement,#d53e4f
344,Asian,165726.0,31152163.0,Wuttke M,Estimated glomerular filtration rate,initial,2019-05-31,GCST008060,Other measurement,#d53e4f
345,European,216518.0,31152163.0,Wuttke M,Estimated glomerular filtration rate,replication,2019-05-31,GCST008059,Other measurement,#3288bd
346,European,567460.0,31152163.0,Wuttke M,Estimated glomerular filtration rate,initial,2019-05-31,GCST008059,Other measurement,#3288bd
347,African Am./Caribbean,1345.0,31127053.0,Tang Y,Diabetic peripheral neuropathy in type 2 diabetes,replication,2019-05-24,GCST008223,Neurological disorder,#fee08b
348,European,949.0,31127053.0,Tang Y,Diabetic peripheral neuropathy in type 2 diabetes,replication,2019-05-24,GCST008223,Neurological disorder,#3288bd
349,European,5168.0,31127053.0,Tang Y,Diabetic peripheral neuropathy in type 2 diabetes,initial,2019-05-24,GCST008223,Neurological disorder,#3288bd
350,African Am./Caribbean,1345.0,31127053.0,Tang Y,Diabetic peripheral neuropathy in type 2 diabetes,replication,2019-05-24,GCST008223,Metabolic disorder,#fee08b
351,European,949.0,31127053.0,Tang Y,Diabetic peripheral neuropathy in type 2 diabetes,replication,2019-05-24,GCST008223,Metabolic disorder,#3288bd
