,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,color
225,European,456.0,29786918.0,Vonk JM,Clinical remission in asthma,replication,2018-05-22,GCST007423,Other disease,#d53e4f
226,European,790.0,29786918.0,Vonk JM,Clinical remission in asthma,initial,2018-05-22,GCST007423,Other disease,#d53e4f
227,European,456.0,29786918.0,Vonk JM,Clinical remission in asthma,replication,2018-05-22,GCST007423,Other trait,#d53e4f
228,European,790.0,29786918.0,Vonk JM,Clinical remission in asthma,initial,2018-05-22,GCST007423,Other trait,#d53e4f
229,Asian,25432.0,29773799.0,Horikoshi M,Late age at menarche,initial,2018-05-17,GCST005864,Other measurement,#3288bd
230,Asian,30266.0,29773799.0,Horikoshi M,Early age at menarche,initial,2018-05-17,GCST005865,Other measurement,#3288bd
231,European,73397.0,29773799.0,Horikoshi M,Menarche (age at onset),replication,2018-05-17,GCST005867,Other measurement,#d53e4f
232,Asian,67029.0,29773799.0,Horikoshi M,Menarche (age at onset),initial,2018-05-17,GCST005867,Other measurement,#3288bd
233,European,67257.0,29769521.0,Ramirez J,Heart rate response to exercise,initial,2018-05-16,GCST005787,Cardiovascular measurement,#d53e4f
234,Asian,547.0,29769613.0,Sun X,Executive function in ADHD,initial,2018-05-16,GCST006219,Neurological disorder,#3288bd
235,Asian,547.0,29769613.0,Sun X,Executive function in ADHD,initial,2018-05-16,GCST006219,Other measurement,#3288bd
236,European,73265.0,29771307.0,Aponte JL,Rosacea symptom severity,initial,2018-05-16,GCST005790,Other measurement,#d53e4f
237,European,926.0,29860282.0,Scelsi MA,Hippocampal volume,initial,2018-05-30,GCST006134,Other measurement,#d53e4f
238,European,16966.0,29848360.0,Julia A,Systemic lupus erythematosus,initial,2018-05-30,GCST005831,Immune system disorder,#d53e4f
239,European,944.0,29860282.0,Scelsi MA,Alzheimer's disease progression score,initial,2018-05-30,GCST006136,Other measurement,#d53e4f
240,European,936.0,29860282.0,Scelsi MA,Cortical amyloid beta load,initial,2018-05-30,GCST006135,Other measurement,#d53e4f
241,European,1760.0,30680360.0,McCoy TH Jr,Nonunion in individuals with fractures,initial,2018-05-29,GCST007250,Other disease,#d53e4f
242,European,342.0,29786918.0,Vonk JM,Complete remission in asthma,replication,2018-05-22,GCST007424,Other disease,#d53e4f
243,European,667.0,29786918.0,Vonk JM,Complete remission in asthma,initial,2018-05-22,GCST007424,Other disease,#d53e4f
244,European,342.0,29786918.0,Vonk JM,Complete remission in asthma,replication,2018-05-22,GCST007424,Other trait,#d53e4f
245,European,667.0,29786918.0,Vonk JM,Complete remission in asthma,initial,2018-05-22,GCST007424,Other trait,#d53e4f
247,European,90853.0,29785011.0,Zhu Z,Asthma,initial,2018-05-21,GCST007562,Other disease,#d53e4f
248,European,884.0,29787419.0,Hrdlickova B,Refractory celiac disease type II,initial,2018-05-21,GCST005928,Digestive system disorder,#d53e4f
249,European,1341.0,29787419.0,Hrdlickova B,Refractory celiac disease type II,replication,2018-05-21,GCST005928,Digestive system disorder,#d53e4f
250,European,253288.0,29782485.0,Rueger S,Height,initial,2018-05-21,GCST005908,Other measurement,#d53e4f
251,European,336474.0,29782485.0,Rueger S,Height,replication,2018-05-21,GCST005908,Other measurement,#d53e4f
252,European,253288.0,29782485.0,Rueger S,Height,initial,2018-05-21,GCST005908,Body measurement,#d53e4f
253,European,336474.0,29782485.0,Rueger S,Height,replication,2018-05-21,GCST005908,Body measurement,#d53e4f
254,European,116538.0,29785011.0,Zhu Z,Asthma or allergic disease (pleiotropy),initial,2018-05-21,GCST007564,Other disease,#d53e4f
255,European,116538.0,29785011.0,Zhu Z,Asthma or allergic disease (pleiotropy),initial,2018-05-21,GCST007564,Immune system disorder,#d53e4f
256,Asian,989.0,29784950.0,Sawai H,Hepatocellular carcinoma in hepatitis B infection,initial,2018-05-21,GCST005746,Digestive system disorder,#3288bd
257,Asian,1048.0,29784950.0,Sawai H,Hepatocellular carcinoma in hepatitis B infection,replication,2018-05-21,GCST005746,Digestive system disorder,#3288bd
258,Asian,383.0,29784950.0,Sawai H,Hepatocellular carcinoma in hepatitis B infection,replication,2018-05-21,GCST005746,Digestive system disorder,#3288bd
259,Asian,989.0,29784950.0,Sawai H,Hepatocellular carcinoma in hepatitis B infection,initial,2018-05-21,GCST005746,Cancer,#3288bd
260,Asian,1048.0,29784950.0,Sawai H,Hepatocellular carcinoma in hepatitis B infection,replication,2018-05-21,GCST005746,Cancer,#3288bd
261,Asian,383.0,29784950.0,Sawai H,Hepatocellular carcinoma in hepatitis B infection,replication,2018-05-21,GCST005746,Cancer,#3288bd
262,European,139555.0,29785010.0,Khawaja AP,Intraocular pressure,initial,2018-05-21,GCST006412,Other measurement,#d53e4f
263,European,102453.0,29785011.0,Zhu Z,"Allergic disease (asthma, hay fever or eczema)",initial,2018-05-21,GCST007563,Other disease,#d53e4f
264,European,102453.0,29785011.0,Zhu Z,"Allergic disease (asthma, hay fever or eczema)",initial,2018-05-21,GCST007563,Immune system disorder,#d53e4f
265,European,260279.0,29777097.0,Marioni RE,Paternal history of Alzheimer's disease,initial,2018-05-18,GCST005920,Other measurement,#d53e4f
266,Asian,148829.0,29779033.0,Hishida A,Serum creatinine levels,initial,2018-05-18,GCST006393,Other measurement,#3288bd
267,Asian,11283.0,29779033.0,Hishida A,Serum creatinine levels,initial,2018-05-18,GCST006393,Other measurement,#3288bd
268,Asian,148829.0,29779033.0,Hishida A,Estimated glomerular filtration rate,initial,2018-05-18,GCST006392,Other measurement,#3288bd
269,Asian,11283.0,29779033.0,Hishida A,Estimated glomerular filtration rate,initial,2018-05-18,GCST006392,Other measurement,#3288bd
270,European,288676.0,29777097.0,Marioni RE,Maternal history of Alzheimer's disease,initial,2018-05-18,GCST005923,Other measurement,#d53e4f
271,Asian,11283.0,29779033.0,Hishida A,Chronic kidney disease,initial,2018-05-18,GCST006391,Other disease,#3288bd
272,Asian,148829.0,29779033.0,Hishida A,Chronic kidney disease,initial,2018-05-18,GCST006391,Other disease,#3288bd
273,Asian,11283.0,29779033.0,Hishida A,Chronic kidney disease,initial,2018-05-18,GCST006391,Other measurement,#3288bd
274,Asian,148829.0,29779033.0,Hishida A,Chronic kidney disease,initial,2018-05-18,GCST006391,Other measurement,#3288bd
276,European,314278.0,29777097.0,Marioni RE,Alzheimer's disease or family history of Alzheimer's disease,initial,2018-05-18,GCST005922,Neurological disorder,#d53e4f
278,European,314278.0,29777097.0,Marioni RE,Alzheimer's disease or family history of Alzheimer's disease,initial,2018-05-18,GCST005922,Other measurement,#d53e4f
279,European,314278.0,29777097.0,Marioni RE,Family history of Alzheimer's disease,initial,2018-05-18,GCST005921,Other measurement,#d53e4f
280,European,32545.0,29773799.0,Horikoshi M,Menopause (age at onset),replication,2018-05-17,GCST005863,Other measurement,#d53e4f
281,Asian,43861.0,29773799.0,Horikoshi M,Menopause (age at onset),initial,2018-05-17,GCST005863,Other measurement,#3288bd
282,Hispanic/Latin American,5022.0,29892015.0,Roselli C,Atrial fibrillation,initial,2018-06-11,GCST006061,Cardiovascular disease,#807dba
283,Asian,36792.0,29892015.0,Roselli C,Atrial fibrillation,initial,2018-06-11,GCST006061,Cardiovascular disease,#3288bd
284,European,537409.0,29892015.0,Roselli C,Atrial fibrillation,initial,2018-06-11,GCST006061,Cardiovascular disease,#d53e4f
285,African Am./Caribbean,8967.0,29892015.0,Roselli C,Atrial fibrillation,initial,2018-06-11,GCST006061,Cardiovascular disease,#fee08b
286,European,1528.0,30134812.0,Chattopadhyay S,Monoclonal gammopathy of undetermined significance,initial,2018-06-11,GCST006917,Other disease,#d53e4f
288,European,1380.0,29883787.0,Gregson CL,Lumbar spine bone mineral density,initial,2018-06-05,GCST006142,Other measurement,#d53e4f
289,European,5899.0,29883787.0,Gregson CL,High bone mineral density,initial,2018-06-05,GCST006141,Other measurement,#d53e4f
290,European,240.0,29967566.0,Roberts CH,Chlamydia trachomatis seropositivity,initial,2018-06-03,GCST006225,Other measurement,#d53e4f
315,European,3557.0,29695241.0,Charmet R,Coronary artery disease in type 1 diabetes,initial,2018-04-25,GCST006281,Cardiovascular disease,#d53e4f
317,European,3557.0,29695241.0,Charmet R,Coronary artery disease in type 1 diabetes,initial,2018-04-25,GCST006281,Metabolic disorder,#d53e4f
319,European,334825.0,29691431.0,Tikkanen E,Hand grip strength,initial,2018-04-24,GCST005830,Other measurement,#d53e4f
320,African Am./Caribbean,6224.0,29691896.0,Keaton JM,"Type 2 diabetes (SNP x SNP interaction, 1df)",initial,2018-04-24,GCST006494,Metabolic disorder,#fee08b
321,African Am./Caribbean,6224.0,29691896.0,Keaton JM,"Type 2 diabetes (SNP x SNP interaction, 2df)",initial,2018-04-24,GCST006495,Metabolic disorder,#fee08b
322,European,223215.0,29691431.0,Tikkanen E,Hand grip strength,initial,2018-04-24,GCST005829,Other measurement,#d53e4f
323,European,111610.0,29691431.0,Tikkanen E,Hand grip strength,replication,2018-04-24,GCST005829,Other measurement,#d53e4f
324,Other/Mixed,15.0,29682794.0,Szekely E,Basal ganglia growth,initial,2018-04-22,GCST006220,Other measurement,#99d594
325,African Am./Caribbean,31.0,29682794.0,Szekely E,Basal ganglia growth,initial,2018-04-22,GCST006220,Other measurement,#fee08b
326,Asian,8.0,29682794.0,Szekely E,Basal ganglia growth,initial,2018-04-22,GCST006220,Other measurement,#3288bd
327,European,581.0,29682794.0,Szekely E,Basal ganglia growth,initial,2018-04-22,GCST006220,Other measurement,#d53e4f
329,African Am./Caribbean,31.0,29682794.0,Szekely E,Right lateral prefrontal cortical growth,initial,2018-04-22,GCST006224,Other measurement,#fee08b
330,Other/Mixed,15.0,29682794.0,Szekely E,Right lateral prefrontal cortical growth,initial,2018-04-22,GCST006224,Other measurement,#99d594
332,Asian,8.0,29682794.0,Szekely E,Right lateral prefrontal cortical growth,initial,2018-04-22,GCST006224,Other measurement,#3288bd
333,European,581.0,29682794.0,Szekely E,Right lateral prefrontal cortical growth,initial,2018-04-22,GCST006224,Other measurement,#d53e4f
335,European,581.0,29682794.0,Szekely E,Cerebral cortical growth,initial,2018-04-22,GCST006223,Other measurement,#d53e4f
336,Asian,8.0,29682794.0,Szekely E,Cerebral cortical growth,initial,2018-04-22,GCST006223,Other measurement,#3288bd
337,African Am./Caribbean,31.0,29682794.0,Szekely E,Cerebral cortical growth,initial,2018-04-22,GCST006223,Other measurement,#fee08b
338,Other/Mixed,15.0,29682794.0,Szekely E,Cerebral cortical growth,initial,2018-04-22,GCST006223,Other measurement,#99d594
339,Other/Mixed,15.0,29682794.0,Szekely E,Cerebellum growth,initial,2018-04-22,GCST006222,Other measurement,#99d594
340,Asian,8.0,29682794.0,Szekely E,Cerebellum growth,initial,2018-04-22,GCST006222,Other measurement,#3288bd
341,European,581.0,29682794.0,Szekely E,Cerebellum growth,initial,2018-04-22,GCST006222,Other measurement,#d53e4f
342,African Am./Caribbean,31.0,29682794.0,Szekely E,Cerebellum growth,initial,2018-04-22,GCST006222,Other measurement,#fee08b
345,African Am./Caribbean,31.0,29682794.0,Szekely E,White matter growth,initial,2018-04-22,GCST006221,Other measurement,#fee08b
346,European,581.0,29682794.0,Szekely E,White matter growth,initial,2018-04-22,GCST006221,Other measurement,#d53e4f
347,Asian,8.0,29682794.0,Szekely E,White matter growth,initial,2018-04-22,GCST006221,Other measurement,#3288bd
348,Other/Mixed,15.0,29682794.0,Szekely E,White matter growth,initial,2018-04-22,GCST006221,Other measurement,#99d594
349,European,4419.0,29698431.0,Roosenboom J,Maximum cranial length,initial,2018-04-26,GCST005938,Other measurement,#d53e4f
350,European,480359.0,29700475.0,Wray NR,Depression,initial,2018-04-26,GCST005839,Neurological disorder,#d53e4f
351,European,480359.0,29700475.0,Wray NR,Depression,initial,2018-04-26,GCST005839,Other measurement,#d53e4f
352,European,2754.0,29698419.0,Pande M,Breast cancer and/or colorectal cancer,initial,2018-04-26,GCST006035,Cancer,#d53e4f
353,European,4419.0,29698431.0,Roosenboom J,Maximum cranial width,initial,2018-04-26,GCST005940,Other measurement,#d53e4f
354,European,4419.0,29698431.0,Roosenboom J,Cephalic index,initial,2018-04-26,GCST005939,Other measurement,#d53e4f
357,European,55382.0,29739929.0,Visconti A,Low tan response,replication,2018-05-08,GCST005897,Other trait,#d53e4f
358,European,121296.0,29739929.0,Visconti A,Low tan response,initial,2018-05-08,GCST005897,Other trait,#d53e4f
359,European,119.0,29998114.0,Gadad BS,Remission after antidepressant treatment in major depression,initial,2018-05-03,GCST006818,Neurological disorder,#d53e4f
360,European,119.0,29998114.0,Gadad BS,Remission after antidepressant treatment in major depression,initial,2018-05-03,GCST006818,Response to drug,#d53e4f
361,European,67062.0,29769521.0,Ramirez J,Resting heart rate,initial,2018-05-16,GCST005789,Cardiovascular measurement,#d53e4f
362,European,67257.0,29769521.0,Ramirez J,Heart rate response to recovery post exercise,initial,2018-05-16,GCST005788,Cardiovascular measurement,#d53e4f
364,African Am./Caribbean,3280.0,29767774.0,Lutz SM,Current cigarettes per day in chronic obstructive pulmonary disease,initial,2018-05-15,GCST006042,Other disease,#fee08b
365,European,6658.0,29767774.0,Lutz SM,Current cigarettes per day in chronic obstructive pulmonary disease,initial,2018-05-15,GCST006042,Other disease,#d53e4f
367,African Am./Caribbean,3280.0,29767774.0,Lutz SM,Current cigarettes per day in chronic obstructive pulmonary disease,initial,2018-05-15,GCST006042,Other measurement,#fee08b
368,European,6658.0,29767774.0,Lutz SM,Current cigarettes per day in chronic obstructive pulmonary disease,initial,2018-05-15,GCST006042,Other measurement,#d53e4f
369,European,95.0,29766673.0,Fusco JP,Non-small cell lung cancer in heavy smokers,initial,2018-05-15,GCST005747,Biological process,#d53e4f
370,European,133.0,29766673.0,Fusco JP,Non-small cell lung cancer in heavy smokers,replication,2018-05-15,GCST005747,Biological process,#d53e4f
371,European,95.0,29766673.0,Fusco JP,Non-small cell lung cancer in heavy smokers,initial,2018-05-15,GCST005747,Cancer,#d53e4f
372,European,133.0,29766673.0,Fusco JP,Non-small cell lung cancer in heavy smokers,replication,2018-05-15,GCST005747,Cancer,#d53e4f
373,Asian,8107.0,29760442.0,Iglesias AI,Central corneal thickness,initial,2018-05-14,GCST005667,Other measurement,#3288bd
374,European,17803.0,29760442.0,Iglesias AI,Central corneal thickness,initial,2018-05-14,GCST005667,Other measurement,#d53e4f
375,Asian,8107.0,29760442.0,Iglesias AI,Central corneal thickness,initial,2018-05-14,GCST006367,Other measurement,#3288bd
376,European,17803.0,29760442.0,Iglesias AI,Central corneal thickness,initial,2018-05-14,GCST006366,Other measurement,#d53e4f
377,European,520.0,29762745.0,Claus EB,Meningioma,replication,2018-05-12,GCST005870,Cancer,#d53e4f
378,European,11429.0,29762745.0,Claus EB,Meningioma,initial,2018-05-12,GCST005870,Cancer,#d53e4f
380,Hispanic/Latin American,374.0,29750799.0,Chao MJ,Huntington's disease (age at onset),initial,2018-05-11,GCST007113,Neurological disorder,#807dba
381,European,4061.0,29750799.0,Chao MJ,Huntington's disease (age at onset),initial,2018-05-11,GCST007113,Neurological disorder,#d53e4f
382,Hispanic/Latin American,374.0,29750799.0,Chao MJ,Huntington's disease (age at onset),initial,2018-05-11,GCST007113,Other measurement,#807dba
383,European,4061.0,29750799.0,Chao MJ,Huntington's disease (age at onset),initial,2018-05-11,GCST007113,Other measurement,#d53e4f
384,European,210.0,29998114.0,Gadad BS,Response to antidepressants in depression,initial,2018-05-03,GCST006817,Neurological disorder,#d53e4f
385,European,210.0,29998114.0,Gadad BS,Response to antidepressants in depression,initial,2018-05-03,GCST006817,Response to drug,#d53e4f
386,African Am./Caribbean,158.0,29730043.0,Li J,Response to lurasidone in schizophrenia,initial,2018-05-02,GCST006248,Response to drug,#fee08b
387,European,264.0,29730043.0,Li J,Response to lurasidone in schizophrenia,initial,2018-05-02,GCST006248,Response to drug,#d53e4f
388,African Am./Caribbean,158.0,29730043.0,Li J,Response to lurasidone in schizophrenia,initial,2018-05-02,GCST006248,Neurological disorder,#fee08b
389,European,264.0,29730043.0,Li J,Response to lurasidone in schizophrenia,initial,2018-05-02,GCST006248,Neurological disorder,#d53e4f
390,European,3290.0,29748315.0,Pott J,Plasma proprotein convertase subtilisin/kexin type 9 levels in stable coronary artery disease,initial,2018-05-01,GCST006284,Other measurement,#d53e4f
391,Asian,195.0,29847655.0,Fan BJ,Central corneal thickness,initial,2018-05-01,GCST006049,Other measurement,#3288bd
392,Hispanic/Latin American,4038.0,29847655.0,Fan BJ,Central corneal thickness,replication,2018-05-01,GCST006049,Other measurement,#807dba
393,European,4806.0,29847655.0,Fan BJ,Central corneal thickness,replication,2018-05-01,GCST006049,Other measurement,#d53e4f
396,Hispanic/Latin American,4038.0,29847655.0,Fan BJ,Central corneal thickness,replication,2018-05-01,GCST006050,Other measurement,#807dba
397,European,6911.0,29847655.0,Fan BJ,Central corneal thickness,replication,2018-05-01,GCST006050,Other measurement,#d53e4f
